property_id,property_type,property_subtype,price,price_type,living_area_m2,bedrooms,bathrooms,address,postal_code,city,latitude,longitude,building_year,epc_score,region,province,nearby_city,state_of_the_building,furnished,kitchen_equipped,has_garage,parking_count,facades,floors_total,floor_number,has_garden,garden_area_m2,has_terrace,total_area_m2,has_elevator
https://immovlan.be/en/detail/residence/for-sale/2930/brasschaat/rbw23706,House,residence,849000,sell,288,3,2,Baillet Latourlei 144,2930,brasschaat,51.293093,4.46442362,1986,C,Flanders,Antwerp,"('Antwerpen', 9.3, False)",To be renovated,0,,,,4,,,,,,2204.0,0
https://immovlan.be/en/detail/residence/for-sale/1930/nossegem/rbw18025,House,residence,665000,sell,173,4,1,Weiveldlaan 51,1930,nossegem,50.870521,4.5095529,,B,Flanders,Flemish Brabant,"('Tervuren', 4.9, True)",,,,1,1,3,,,1,1142.0,1,1142.0,
https://immovlan.be/en/detail/apartment/for-sale/2000/antwerp/rbw20304,Apartment,apartment,1215000,sell,205,2,1,Nassaustraat 30 501,2000,antwerp,51.2303393,4.4046019,2013,C,Flanders,Antwerp,"('Antwerpen', 1.2, False)",,,,1,1,,6,5,,,1,,1
https://immovlan.be/en/detail/villa/for-sale/2570/duffel/rbw20463,House,villa,1149000,sell,515,6,3,Naalstraat 90,2570,duffel,51.0809918,4.5116291,2012,A,Flanders,Antwerp,"('Malines', 6.6, False)",,,,,,4,,,,,,1473.0,0
https://immovlan.be/en/detail/penthouse/for-sale/1420/braine-l-alleud/vbe34905,Apartment,penthouse,790000,sell,168,3,2,,1420,braine-l-alleud,50.6969022,4.3538379,2025,B,Wallonia,Walloon Brabant,"('Waterloo', 3.9, True)",New,0,Super equipped,,,,4,4,,,1,,1
https://immovlan.be/en/detail/residence/for-sale/6120/ham-sur-heure/vbe33425,House,residence,175000,sell,172,3,,Rue Claquedent 62,6120,ham-sur-heure,50.32891,4.41302,1930,F,Wallonia,Hainaut,"('Charleroi', 9.4, False)",To be renovated,0,,1,1,3,,,1,385.0,1,470.0,0
https://immovlan.be/en/detail/villa/for-sale/3950/bocholt/rbw19782,House,villa,835000,sell,473,4,2,Achelsedijk 4,3950,bocholt,51.18864,5.562694,1974,B,Flanders,Limburg,"('Genk', 25.2, False)",Normal,0,,,,4,,,1,,1,2343.0,0
https://immovlan.be/en/detail/residence/for-sale/7100/haine-saint-pierre/vbe31831,House,residence,1508000,sell,,4,,,7100,haine-saint-pierre,50.45413,4.1996,,B,Wallonia,Hainaut,"('La Louvière', 2.9, False)",,,,,,2,,,,,,,
https://immovlan.be/en/detail/residence/for-sale/9031/drongen/rbw15960,House,residence,995000,sell,274,4,2,Zestiengemeten 4,9031,drongen,51.0500604,3.6546516,2021,A,Flanders,East Flanders,"('Gent', 4.4, False)",New,0,Super equipped,,,4,2,,1,430.0,1,729.0,0
https://immovlan.be/en/detail/residence/for-sale/8930/menen/rwc42019,House,residence,89000,sell,135,4,1,Leopoldstraat 7,8930,menen,50.7876399,3.1314938,,E,Flanders,West Flanders,"('Mouscron', 7.5, False)",To be renovated,,Not equipped,,,2,,,0,,0,70.0,0
https://immovlan.be/en/detail/villa/for-sale/7730/estaimpuis/vbe32147,House,villa,1290000,sell,650,4,4,,7730,estaimpuis,50.6755806,3.2758222,,A,Wallonia,Hainaut,"('Mouscron', 8.7, False)",New,0,Fully equipped,1,2,4,,,1,1471.0,1,1471.0,0
https://immovlan.be/en/detail/residence/for-sale/5060/tamines/vbe29530,House,residence,840000,sell,360,5,1,Avenue du Pr&#xE9;sident Roosevelt 7,5060,tamines,50.4337674,4.6085039,,E,Wallonia,Namur,"('Charleroi', 11.9, False)",Normal,0,,,,4,5,,,,1,2325.0,1
https://immovlan.be/en/detail/mixed-building/for-sale/8570/anzegem/rbw18296,House,mixed-building,,sell,440,3,1,Wortegemsesteenweg 44,8570,anzegem,50.8352661,3.4847158,2004,B,Flanders,West Flanders,"('Waregem', 7.5, False)",Excellent,,Fully equipped,1,2,4,4,,,,1,2052.0,0
https://immovlan.be/en/detail/studio/for-sale/1210/sint-joost-ten-node/vbe34652,Apartment,studio,150000,sell,34,,1,Rue de la Ferme 16,1210,sint-joost-ten-node,50.8512144,4.3742387,1965,F,Brussels,Brussels Capital Region,"('Bruxelles', 1.6, False)",To renovate,0,,,,2,5,5,,,1,,1
https://immovlan.be/en/detail/duplex/for-sale/5000/namur/vbe35115,Apartment,duplex,259000,sell,87,2,1,,5000,namur,50.4674593,4.8718068,2007,B,Wallonia,Namur,"('Namur', 0.3, False)",Excellent,0,Fully equipped,,,2,4,3,,,,,1
https://immovlan.be/en/detail/residence/for-sale/9630/zwalm/rbw19243,House,residence,810000,sell,461,6,2,,9630,zwalm,50.8799184,3.7288705,1973,B,Flanders,East Flanders,"('Gent', 19.4, False)",Normal,0,,,,4,2,,1,1984.0,1,2893.0,0
https://immovlan.be/en/detail/residence/for-sale/4602/cheratte/vbe34783,House,residence,280000,sell,120,3,1,Rue sur les Sarts 1,4602,cheratte,50.67859007,5.66928581,1956,D,Wallonia,Liège,"('Liège', 8.1, False)",Normal,0,,1,1,4,2,,1,,1,366.0,0
https://immovlan.be/en/detail/mixed-building/for-sale/5500/dinant/vbe31835,House,mixed-building,8994000,sell,,,,,5500,dinant,50.2340362,4.9169434,,,Wallonia,Namur,"('Namur', 26.1, False)",,,,,,2,,,,,,,
https://immovlan.be/en/detail/residence/for-sale/2620/hemiksem/rbw17177,House,residence,449000,sell,349,4,2,Abdijstraat 54/56,2620,hemiksem,51.135301,4.3374765,,C,Flanders,Antwerp,"('Antwerpen', 10.4, False)",Normal,0,,1,1,4,,,1,73.0,1,250.0,0
https://immovlan.be/en/detail/mixed-building/for-sale/4960/malmedy/vbe10378,House,mixed-building,849000,sell,483,10,7,Rue La Vaux 47,4960,malmedy,50.0263438,5.3788723,,C,Wallonia,Liège,"('Arlon', 49.4, False)",Normal,0,Partially equipped,,,2,3,,0,,0,315.0,0
https://immovlan.be/en/detail/ground-floor/for-sale/4130/tilff/vbe33627,Apartment,ground-floor,424000,sell,137,2,1,,4130,tilff,50.5640699,5.5759823,2000,D,Wallonia,Liège,"('Liège', 7.6, False)",Excellent,,Fully equipped,,,2,,,1,150.0,1,,1
https://immovlan.be/en/detail/residence/for-sale/2200/noorderwijk/rbw17211,House,residence,549000,sell,178,3,1,Kruisstraat 24,2200,noorderwijk,51.13729,4.831632,2024,,Flanders,Antwerp,"('Geel', 11.5, False)",New,0,,,,3,2,,1,,1,348.0,0
https://immovlan.be/en/detail/mixed-building/for-sale/1495/villers-la-ville/vbe33614,House,mixed-building,485000,sell,300,4,3,Chauss&#xE9;e de Namur 5B,1495,villers-la-ville,50.5614211,4.4789362,,B,Wallonia,Walloon Brabant,"('Charleroi', 16.9, False)",Normal,0,,,,2,2,,1,68.0,,462.0,
https://immovlan.be/en/detail/residence/for-sale/5190/spy/vbe32759,House,residence,1199000,sell,,5,2,,5190,spy,50.4796529,4.7042186,2000,C,Wallonia,Namur,"('Namur', 11.6, False)",Excellent,0,,1,4,4,3,,1,11002.0,1,11413.0,0
https://immovlan.be/en/detail/apartment/for-sale/3040/huldenberg/rbw18343,Apartment,apartment,499000,sell,126,2,2,Gemeenteplein 23 0105,3040,huldenberg,50.789564,4.5837542,,,Flanders,Flemish Brabant,"('Overijse', 4.1, True)",New,,,,,,,,,,1,,
https://immovlan.be/en/detail/apartment/for-sale/6880/bertrix/vbe34863,Apartment,apartment,269900,sell,96,2,1,Rue des Scailtons,6880,bertrix,49.8527937,5.2657332,,,Wallonia,Luxembourg,"('Arlon', 43.8, False)",New,0,,,,,,,,,1,,
https://immovlan.be/en/detail/residence/for-sale/3500/hasselt/rbw12744,House,residence,845000,sell,,7,2,Heidestraat 15,3500,hasselt,50.9442091,5.3645615,1962,C,Flanders,Limburg,"('Hasselt', 2.7, False)",,,,1,1,4,,,1,,1,2258.0,
https://immovlan.be/en/detail/mixed-building/for-sale/6830/bouillon/vbe23170,House,mixed-building,879000,sell,120,3,2,Rue de la Girafe 15,6830,bouillon,49.8294629,5.0884396,2021,A,Wallonia,Luxembourg,"('Arlon', 54.8, False)",Excellent,0,Super equipped,1,2,4,,,1,250.0,1,3122.0,0
https://immovlan.be/en/detail/residence/for-sale/6940/septon/vbe32183,House,residence,1650000,sell,430,8,1,Domaine de Bellevue 34,6940,septon,50.34629692,5.39307216,2011,A,Wallonia,Luxembourg,"('Liège', 34.5, False)",,0,,1,2,4,,,1,2110.0,1,2296.0,0
https://immovlan.be/en/detail/villa/for-sale/6040/jumet/vbe34647,House,villa,239000,sell,104,2,1,,6040,jumet,50.4427249,4.4370311,,G,Wallonia,Hainaut,"('Charleroi', 3.6, False)",Normal,,Partially equipped,1,1,4,,,1,,1,435.0,
https://immovlan.be/en/detail/residence/for-sale/4877/olne/vbe32368,House,residence,1250000,sell,815,7,4,Rue des Combattants 12,4877,olne,50.5897779,5.7475477,1800,C,Wallonia,Liège,"('Verviers', 8.2, False)",Excellent,0,,1,1,4,3,,1,1870.0,1,1870.0,0
https://immovlan.be/en/detail/residence/for-sale/6700/arlon/vbe27127,House,residence,845000,sell,370,4,2,,6700,arlon,49.6833333,5.8166667,,C,Wallonia,Luxembourg,"('Arlon', 0.0, False)",,0,,,,3,,,1,3000.0,1,3500.0,0
https://immovlan.be/en/detail/residence/for-sale/3120/tremelo/rbw18950,House,residence,740000,sell,458,6,2,Kruisstraat 78,3120,tremelo,50.9949947,4.6966799,1976,B,Flanders,Flemish Brabant,"('Louvain', 12.8, False)",,,,,,4,,,,,,3430.0,
https://immovlan.be/en/detail/residence/for-sale/9090/melle/rbw20118,House,residence,208000,sell,112,3,1,Kloosterstraat 53,9090,melle,51.002099,3.806152,,F,Flanders,East Flanders,"('Gent', 8.5, False)",To be renovated,,,,,2,,,,,1,105.0,
https://immovlan.be/en/detail/residence/for-sale/9500/geraardsbergen/rbw23650,House,residence,1400000,sell,680,10,2,Astridlaan 75,9500,geraardsbergen,50.774211,3.8704675,,F,Flanders,East Flanders,"('Alost', 21.7, False)",Excellent,0,,,,4,,,1,,1,1449.0,
https://immovlan.be/en/detail/apartment/for-sale/4980/trois-ponts/vbe33941,Apartment,apartment,99000,sell,69,1,1,Rue des Faravennes 3 A,4980,trois-ponts,50.3741982,5.8707672,,G,Wallonia,Liège,"('Verviers', 23.9, False)",Normal,0,Partially equipped,,,4,,,1,147.0,1,,0
https://immovlan.be/en/detail/residence/for-sale/4100/seraing/vbe33728,House,residence,179000,sell,105,2,1,Rue du Coll&#xE8;ge 11,4100,seraing,50.5861773,5.5084058,,D,Wallonia,Liège,"('Liège', 7.2, False)",To be renovated,,,1,1,,1,,,,1,166.0,0
https://immovlan.be/en/detail/residence/for-sale/6747/chatillon/vbe31346,House,residence,980000,sell,340,4,1,Rue Devant la Croix 42,6747,chatillon,49.6300955,5.7030262,2000,B,Wallonia,Luxembourg,"('Arlon', 10.1, False)",Normal,0,Fully equipped,1,1,4,2,,1,1215.0,1,1731.0,0
https://immovlan.be/en/detail/duplex/for-sale/4550/nandrin/vbe33719,Apartment,duplex,475000,sell,323,4,3,Rue d&#x27;Engihoul 50 21,4550,nandrin,50.5270155,5.4143001,2015,A,Wallonia,Liège,"('Liège', 16.6, False)",Excellent,0,,,,,3,2,1,658.0,,,0
https://immovlan.be/en/detail/residence/for-sale/2560/kessel/rbw18235,House,residence,515000,sell,270,3,1,Meidoornlaan 22,2560,kessel,51.15009,4.611729,1978,C,Flanders,Antwerp,"('Antwerpen', 16.5, False)",Normal,0,,1,1,4,,,1,,1,625.0,0
https://immovlan.be/en/detail/residence/for-sale/5300/andenne/vbe35093,House,residence,350000,sell,143,5,1,,5300,andenne,50.4833333,5.0833333,1849,D,Wallonia,Namur,"('Namur', 15.4, False)",,0,,,,4,1,,1,,1,1721.0,0
https://immovlan.be/en/detail/residence/for-sale/5640/mettet/vbe35132,House,residence,275000,sell,120,3,1,Rue de Bambois 30,5640,mettet,50.3674556,4.7114746,,F,Wallonia,Namur,"('Namur', 15.6, False)",To renovate,,Partially equipped,1,1,4,,,1,,1,963.0,
https://immovlan.be/en/detail/chalet/for-sale/5660/bruly-de-pesche/vwd17825,House,chalet,230000,sell,62,3,1,rue la Foresti&#xE8;re 240,5660,bruly-de-pesche,50.0084273,4.4781925,2023,F,Wallonia,Namur,"('Charleroi', 44.8, False)",Excellent,,Fully equipped,,,4,,,1,,1,2507.0,
https://immovlan.be/en/detail/residence/for-sale/6747/chatillon/vwd16930,House,residence,1150000,sell,461,5,4,rue devant-la-Croix 3,6747,chatillon,49.6285908,5.7048355,,B,Wallonia,Luxembourg,"('Arlon', 10.1, False)",Excellent,,Super equipped,1,,4,,,1,,1,4567.0,
https://immovlan.be/en/detail/villa/for-sale/9220/hamme/rbw13354,House,villa,999000,sell,222,3,2,BOOTDIJKSTRAAT 49,9220,hamme,51.0743,4.163605,2019,A,Flanders,East Flanders,"('Dendermonde', 6.7, False)",,0,,1,2,4,,,1,,1,,0
https://immovlan.be/en/detail/residence/for-sale/1150/sint-pieters-woluwe/vbe35189,House,residence,925000,sell,200,5,2,Avenue Orban 20,1150,sint-pieters-woluwe,50.832327,4.4528542,1936,G,Brussels,Brussels Capital Region,"('Tervuren', 4.5, True)",To be renovated,0,,,,3,,,1,300.0,1,440.0,0
https://immovlan.be/en/detail/apartment/for-sale/1210/sint-joost-ten-node/vbe35094,Apartment,apartment,295000,sell,70,2,1,Rue Saint-Josse 13,1210,sint-joost-ten-node,50.8516118,4.3733382,1902,D,Brussels,Brussels Capital Region,"('Bruxelles', 1.5, False)",Normal,0,Super equipped,,,2,3,2,,,1,,0
https://immovlan.be/en/detail/residence/for-sale/8930/rekkem/rwc42786,House,residence,295000,sell,135,3,1,Dronckaertstraat 255,8930,rekkem,50.7759461,3.1757259,,C,Flanders,West Flanders,"('Mouscron', 4.5, False)",Fully renovated,,Super equipped,,,1,,,1,,1,244.0,0
https://immovlan.be/en/detail/apartment/for-sale/6000/charleroi/vbe33553,Apartment,apartment,99000,sell,80,2,1,Rue du Spinois 144 54,6000,charleroi,50.4152904,4.4569968,,D,Wallonia,Hainaut,"('Charleroi', 1.0, False)",,0,Fully equipped,,,2,,5,,,1,,1
https://immovlan.be/en/detail/residence/for-sale/7850/enghien/vbe34080,House,residence,395000,sell,225,5,2,,7850,enghien,50.6947227,4.0418874,1850,C,Wallonia,Hainaut,"('La Louvière', 26.1, False)",Normal,0,Super equipped,,,2,4,,1,52.0,1,170.0,0
https://immovlan.be/en/detail/studio/for-sale/1180/ukkel/rbw19605,Apartment,studio,155000,sell,54,1,1,,1180,ukkel,50.8,4.3333333,1978,F,Brussels,Brussels Capital Region,"('Uccle', 0.4, True)",Excellent,,,,,,,1,,,,,
https://immovlan.be/en/detail/mixed-building/for-sale/6000/charleroi/vwd17752,House,mixed-building,1200000,sell,960,8,,,6000,charleroi,50.4157265,4.449213,,C,Wallonia,Hainaut,"('Charleroi', 0.6, False)",Normal,,,,,2,,,1,,1,,
https://immovlan.be/en/detail/duplex/for-sale/1070/anderlecht/vbe34263,Apartment,duplex,319000,sell,144,3,1,Rue L&#xE9;on Delacroix 23,1070,anderlecht,50.8455239,4.3242407,1944,G,Brussels,Brussels Capital Region,"('Bruxelles', 2.0, False)",To renovate,0,Fully equipped,,,2,3,,,,1,,0
https://immovlan.be/en/detail/residence/for-sale/2440/geel/rbw16116,House,residence,725000,sell,306,5,1,Heistraat 19A,2440,geel,51.172,4.993532,2012,B,Flanders,Antwerp,"('Geel', 0.9, False)",Normal,0,,,,4,,,1,,1,2246.0,0
https://immovlan.be/en/detail/apartment/for-sale/5150/franiere/vbe34383,Apartment,apartment,244000,sell,83,2,,Rue de Floreffe 16a,5150,franiere,50.43725306,4.73305847,2025,A+,Wallonia,Namur,"('Namur', 10.1, False)",New,0,,,,,2,1,,,1,,0
https://immovlan.be/en/detail/residence/for-sale/5555/bievre/vwd17719,House,residence,,sell,430,8,5,rue de Graide 24-26,5555,bievre,49.9301231,5.0840796,2015,A,Wallonia,Namur,"('Arlon', 59.3, False)",Excellent,,Super equipped,,,4,,,1,,1,3352.0,
https://immovlan.be/en/detail/penthouse/for-sale/3500/hasselt/rbw12577,Apartment,penthouse,895000,sell,168,3,2,Gelatineboulevard 4 703,3500,hasselt,50.9358558,5.3359704,2020,A,Flanders,Limburg,"('Hasselt', 0.6, False)",,,,,,,1,1,,,1,,1
https://immovlan.be/en/detail/master-house/for-sale/1000/brussels/vbe31984,House,master-house,5000000,sell,,4,,,1000,brussels,50.8427501,4.3515499,,,Brussels,Brussels Capital Region,"('Bruxelles', 0.8, False)",,,,,,2,,,,,,,
https://immovlan.be/en/detail/residence/for-sale/6900/waha/vbe35717,House,residence,889000,sell,480,7,1,Rue de la Carri&#xE8;re 40,6900,waha,50.2161131,5.3385435,2025,A+,Wallonia,Luxembourg,"('Namur', 43.5, False)",New,0,Fully equipped,1,1,4,3,,1,2187.0,1,2187.0,0
https://immovlan.be/en/detail/residence/for-sale/8890/moorslede/rbw19145,House,residence,1070000,sell,,3,2,Breulstraat 36 A,8890,moorslede,50.8904725,3.0659426,1959,A,Flanders,West Flanders,"('Roeselare', 7.3, False)",,,,1,1,4,,,,,,1400.0,0
